OSCEM,fromxml,frommdoc,in PDBx/mmCIF,type,Ontology suggestions,optionals_mdoc,units,crunchfromxml,crunchfrommdoc,unitsExplicit,optionals_xml
acquisition.grids_imaged,,,_em_image_recording.num_grids_imaged,Int,,,,,,,
acquisition.images_generated,NumberOfMovies,,_em_image_recording.num_real_images,Int,,,,,,,
acquisition.binning_camera.height,MicroscopeImage.microscopeData.acquisition.camera.Binning.x,Binning,,Int,,,,,,,
acquisition.binning_camera.width,MicroscopeImage.microscopeData.acquisition.camera.Binning.x,Binning,,Int,,,,,,,
acquisition.pixel_size,MicroscopeImage.SpatialScale.pixelSize.x.numericValue,PixelSpacing,,Float64,,,Å,10000000000,,angstroms,
,,,,,,,,,,,
acquisition.specialist_optics.phaseplate.used,PhasePlateUsed,,,Bool,,,,,,,
acquisition.specialist_optics.phaseplate.instrument_type,,,_em_imaging_optics.phase_plate,String,,,,,,,
,,,,,,,,,,,
acquisition.specialist_optics.spherical_aberration_corrector.used,,,,Bool,,,,,,,
acquisition.specialist_optics.spherical_aberration_corrector.instrument_type,,,_em_imaging_optics.sph_aberration_corrector,String,,,,,,,
,,,,,,,,,,,
acquisition.specialist_optics.chromatic_aberration_corrector.used,,,,Bool,,,,,,,
acquisition.specialist_optics.chromatic_aberration_corrector.instrument_type,,,_em_imaging_optics.chr_aberration_corrector,String,,,,,,,
,,,,,,,,,,,
acquisition.beamshift.x_max,MicroscopeImage.microscopeData.optics.BeamShift._x_max,Beamshift_x_max_max,,Float64,,,um,,,micrometres,
acquisition.beamshift.x_min,MicroscopeImage.microscopeData.optics.BeamShift._x_min,Beamshift_x_min_min,,Float64,,,um,,,micrometres,
acquisition.beamshift.y_max,MicroscopeImage.microscopeData.optics.BeamShift._y_max,Beamshift_y_max_max,,Float64,,,um,,,micrometres,
acquisition.beamshift.y_min,MicroscopeImage.microscopeData.optics.BeamShift._y_min,Beamshift_y_min_min,,Float64,,,um,,,micrometres,
,,,,,,,,,,,
acquisition.beamtilt.x_max,MicroscopeImage.microscopeData.optics.BeamTilt._x,TBI,,Float64,,,mrad,,,milliradians,
acquisition.beamtilt.y_max,MicroscopeImage.microscopeData.optics.BeamTilt._y,TBI,,Float64,,,mrad,,,milliradians,
,,,,,,,,,,,
acquisition.imageshift.x_max,MicroscopeImage.microscopeData.optics.ImageShift._x_max,ImageShift_x_max_max,,Float64,,,um,,,micrometres,MicroscopeImage.microscopeData.optics.ImageShift._x
acquisition.imageshift.x_min,MicroscopeImage.microscopeData.optics.ImageShift._x_min,ImageShift_x_min_min,,Float64,,,um,,,micrometres,MicroscopeImage.microscopeData.optics.ImageShift._x
acquisition.imageshift.y_max,MicroscopeImage.microscopeData.optics.ImageShift._y_max,ImageShift_y_max_max,,Float64,,,um,,,micrometres,MicroscopeImage.microscopeData.optics.ImageShift._y
acquisition.imageshift.y_min,MicroscopeImage.microscopeData.optics.ImageShift._y_min,ImageShift_y_min_min,,Float64,,,um,,,micrometres,MicroscopeImage.microscopeData.optics.ImageShift._y
acquisition.tilt_axis_angle,,TiltAxisAngle,,Float64,,,°,,,degrees,
acquisition.beamtiltgroups,,,,Int,,,,,,,
acquisition.gainref_flip_rotate,,,,String,,,,,,,
,,,,,,,,,,,
,,,,String,https://schema.org/Grant,,,,,,
organizational.grants.project_id,,,_pdbx_audit_support.grant_number ,String,https://schema.org/fundedItem,,,,,,
organizational.funder.funder_name,,,_pdbx_audit_support.funding_organization,String,https://schema.org/funder,,,,,,
organizational.grants.grant_name,,,,String,,,,,,,
organizational.grants.country,,,_pdbx_audit_support.country,String,,,,,,,
organizational.authors.first_name,,,_pdbx_contact_author.name_first,String,https://schema.org/familyName,,,,,,
organizational.authors.name,,,_pdbx_contact_author.name_last,String,https://schema.org/name,,,,,,
organizational.authors.email,,,_pdbx_contact_author.email,String,https://schema.org/email,,,,,,
organizational.authors.work_phone,,,_pdbx_contact_author.phone,String,http://semanticscience.org/resource/SIO_001324,,,,,,
organizational.authors.orcid,,,_pdbx_contact_author.identifier_ORCID,String,http://purl.obolibrary.org/obo/IAO_0000708,,,,,,
organizational.authors.role,,,_pdbx_contact_author.role,String,https://schema.org/jobTitle,,,,,,
organizational.authors.country,,,_pdbx_contact_author.country,String,https://schema.org/Country,,,,,,
organizational.authors.work_status,,,,String,,,,,,,
,,,,,,,,,,,
organizational.authors.name_org,,,,String,,,,,,,
organizational.authors.type_org,,,_pdbx_contact_author.organization_type,String,,,,,,,
organizational.funder.type_org,,,,String,,,,,,,
organizational.funder.country,,,,String,,,,,,,
,,,,,,,,,,,
sample.overall_molecule.molecular_type,,,_em_entity_assembly.type,String,,,,,,,
sample.overall_molecule.name_sample,,,_em_entity_assembly.name,String,,,,,,,
sample.overall_molecule.source,,,_entity.src_method,String,,,,,,,
sample.overall_molecule.molecular_weight,,,_entity.formula_weight,Float64,,,Da,,,daltons,
sample.overall_molecule.assembly,,,_em_experiment.aggregation_state,,,,,,,,
,,,,,,,,,,,
sample.molecule.name_mol,,,_pdbx_entity_branch_descriptor.descriptor,String,,,,,,,
sample.molecule.molecular_type,,,_entity_poly.type,String,,,,,,,
sample.molecule.molecular_class,,,,String,,,,,,,
sample.molecule.sequence,,,_entity_poly.pdbx_seq_one_letter_code,String,,,,,,,
sample.molecule.natural_source,,,_em_entity_assembly_naturalsource.organism,String,,,,,,,
sample.molecule.taxonomy_id_source,,,_em_entity_assembly_naturalsource.ncbi_tax_id ,String,,,,,,,
sample.molecule.expression_system,,,_em_entity_assembly_recombinant.organism,String,,,,,,,
sample.molecule.taxonomy_id_expression,,,_em_entity_assembly_recombinant.ncbi_tax_id,String,,,,,,,
sample.molecule.gene_name,,,_entity_src_gen.pdbx_gene_src_gene,String,,,,,,,
,,,,,,,,,,,
sample.ligands.present,,,_pdbx_entry_details.has_ligand_of_interest,Bool,,,,,,,
sample.ligands.smiles,,,_pdbx_chem_comp_depositor_info.descriptor,String,,,,,,,
sample.ligands.reference,,,,String,,,,,,,
,,,,,,,,,,,
sample.specimen.buffer,,,_em_buffer.details,String,,,,,,,
sample.specimen.concentration,,,_em_specimen.concentration,Float64,,,mg/ml,,,mg_per_ml,
sample.specimen.ph,,,_em_buffer.pH,Float64,,,,,,,
sample.specimen.vitrification,,,_em_specimen.vitrification_applied,Bool,,,,,,,
sample.specimen.vitrification_cryogen,,,_em_vitrification.cryogen_name,String,,,,,,,
sample.specimen.humidity,,,_em_vitrification.humidity ,Float64,,,%,,,per cent,
sample.specimen.temperature,,,_em_vitrification.chamber_temperature,Float64,,,,,,,
sample.specimen.staining,,,_em_specimen.staining_applied,Bool,,,,,,,
sample.specimen.embedding,,,_em_specimen.embedding_applied ,Bool,,,,,,,
sample.specimen.shadowing,,,_em_specimen.shadowing_applied,Bool,,,,,,,
,,,,,,,,,,,
sample.grid.manufacturer,,,_em_sample_support.grid_type,String,,,,,,,
sample.grid.material,,,_em_sample_support.grid_material,String,,,,,,,
sample.grid.mesh,,,_em_sample_support.grid_mesh_size,Int,,,,,,,
sample.grid.film_support,,,,Bool,,,,,,,
sample.grid.film_material,,,_em_support_film.material,String,,,,,,,
sample.grid.film_topology,,,_em_support_film.topology ,String,,,,,,,
sample.grid.film_thickness,,,_em_support_film.thickness ,String,,,Å,,,angstroms,
sample.grid.pretreatment_type,,,_em_grid_pretreatment.type,String,,,,,,,
sample.grid.pretreatment_time,,,_em_grid_pretreatment.time,Float64,,,,,,,
sample.grid.pretreatment_pressure,,,_em_grid_pretreatment.pressure,Float64,,,,,,,
sample.grid.pretreatment_atmosphere,,,_em_grid_pretreatment.atmosphere ,String,,,,,,,
